"id","accuracy","auc","precision","recall","f1","layers"
"287","0.992857142857143","0.988888888888889","0.99","1","1","9-8-3"
"288","0.992857142857143","0.988888888888889","0.99","1","1","9-8-4"
"289","0.978571428571429","0.940714285714286","0.974575757575758","1","1","10-1-1"
"290","0.978571428571429","0.963152173913043","0.982142857142857","0.991304347826087","1","10-1-2"
"291","0.992857142857143","0.985714285714286","0.990909090909091","1","1","10-1-3"
"292","1","1","1","1","1","10-1-4"
"293","0.985714285714286","0.970833333333333","0.981780538302277","1","1","10-2-1"
"294","0.978571428571429","0.945714285714286","0.974909090909091","1","1","10-2-2"
"295","1","1","1","1","1","10-2-3"
"296","0.985714285714286","0.970833333333333","0.981780538302277","1","1","10-2-4"
"297","0.992857142857143","0.985714285714286","0.990909090909091","1","1","10-3-1"
"298","1","1","1","1","1","10-3-2"
"299","0.992857142857143","0.99","0.989473684210526","1","1","10-3-3"
"300","0.992857142857143","0.985714285714286","0.990909090909091","1","1","10-3-4"
"301","0.992857142857143","0.9875","0.990476190476191","1","1","10-4-1"
"302","0.992857142857143","0.991666666666667","0.988235294117647","1","1","10-4-2"
"303","1","1","1","1","1","10-4-3"
"304","0.978571428571428","0.955","0.973484848484848","1","1","10-4-4"
"305","0.957142857142857","0.910357142857143","0.950142857142857","1","1","10-5-1"
"306","1","1","1","1","1","10-5-2"
"307","0.992857142857143","0.966666666666667","0.992307692307692","1","1","10-5-3"
"308","1","1","1","1","1","10-5-4"
"309","1","1","1","1","1","10-6-1"
"310","0.985714285714286","0.970833333333333","0.992","0.991666666666667","1","10-6-2"
"311","0.992857142857143","0.983333333333333","0.991304347826087","1","1","10-6-3"
"312","0.992857142857143","0.9875","0.990476190476191","1","1","10-6-4"
"313","0.992857142857143","0.99","0.989473684210526","1","1","10-7-1"
"314","0.985714285714286","0.938888888888889","0.982592592592593","1","1","10-7-2"
"315","1","1","1","1","1","10-7-3"
"316","0.992857142857143","0.995833333333333","1","0.991666666666667","1","10-7-4"
"317","1","1","1","1","1","10-8-1"
"318","0.978571428571428","0.955","0.973484848484848","1","1","10-8-2"
"319","0.985714285714286","0.98","0.98","1","1","10-8-3"
"320","0.992857142857143","0.995","1","0.99","1","10-8-4"
"321","0.964285714285714","0.949580745341615","0.972608695652174","0.981304347826087","1","11-1-1"
"322","0.978571428571429","0.962337662337662","0.971497584541063","1","1","11-1-2"
"323","0.964285714285714","0.93","0.955698287220026","1","1","11-1-3"
"324","0.992857142857143","0.985714285714286","0.990909090909091","1","1","11-1-4"
"325","0.978571428571428","0.961428571428571","0.9720823798627","1","1","11-2-1"
"326","0.978571428571429","0.963492063492064","0.971861471861472","1","1","11-2-2"
"327","0.985714285714286","0.96","0.984","1","1","11-2-3"
"328","0.992857142857143","0.98","0.991666666666667","1","1","11-2-4"
"329","0.978571428571429","0.951388888888889","0.982307692307692","0.991666666666667","1","11-3-1"
"330","0.978571428571428","0.972727272727273","0.97","1","1","11-3-2"
"331","0.992857142857143","0.988888888888889","0.99","1","1","11-3-3"
"332","1","1","1","1","1","11-3-4"
